2018-03-12 15:14:48:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:14:49:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:14:51:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-AE4F70FA23D71B6BE814C2DF0122F6FE-13D17633AEB7D2F9069542C708D0D85F, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=AE4F70FA23D71B6BE814C2DF0122F6FE, corp_seq_id=13D17633AEB7D2F9069542C708D0D85F, pre_cname=91320594MA1NJGAX0N, cname=苏州麦特富玛商务信息咨询有限公司, admit_main=10, reg_status=在业, reg_code=91320594MA1NJGAX0N, uni_scid=320594400042486, pname=黄达业, reg_date=2017-03-13, part=0, status=2, version=1, ts=2018-01-24 09:04:11]
2018-03-12 15:14:52:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:14:53:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:14:54:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:14:55:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:14:56:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-9AE12698850990F313764CADBDC4A622-363682D11655C2ED447C1AA91B9B7B75, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=9AE12698850990F313764CADBDC4A622, corp_seq_id=363682D11655C2ED447C1AA91B9B7B75, pre_cname=91320581589957744X, cname=苏州精锐丽家居用品有限公司, admit_main=08, reg_status=在业, reg_code=91320581589957744X, uni_scid=320581000281366, pname=张蕾, reg_date=2012-01-31, part=0, status=2, version=1, ts=2018-01-10 16:05:31]
2018-03-12 15:15:05:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-AE4F70FA23D71B6BE814C2DF0122F6FE-13D17633AEB7D2F9069542C708D0D85F, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=AE4F70FA23D71B6BE814C2DF0122F6FE, corp_seq_id=13D17633AEB7D2F9069542C708D0D85F, pre_cname=91320594MA1NJGAX0N, cname=苏州麦特富玛商务信息咨询有限公司, admit_main=10, reg_status=在业, reg_code=91320594MA1NJGAX0N, uni_scid=320594400042486, pname=黄达业, reg_date=2017-03-13, part=0, status=2, version=1, ts=2018-01-24 09:04:11]
2018-03-12 15:15:06:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=63D1B55F525DC58CC6E2E4C0113DB667-AE4F70FA23D71B6BE814C2DF0122F6FE-13D17633AEB7D2F9069542C708D0D85F, corp_org=63D1B55F525DC58CC6E2E4C0113DB667, corp_id=AE4F70FA23D71B6BE814C2DF0122F6FE, corp_seq_id=13D17633AEB7D2F9069542C708D0D85F, pre_cname=91320594MA1NJGAX0N, cname=苏州麦特富玛商务信息咨询有限公司, admit_main=10, reg_status=在业, reg_code=91320594MA1NJGAX0N, uni_scid=320594400042486, pname=黄达业, reg_date=2017-03-13, part=0, status=2, version=1, ts=2018-01-24 09:04:11]
2018-03-12 15:15:11:工商信息异常>>>>>>获取基本信息结果非JSON格式:ComUrl [uuid=F535388F0BB960F95173C365A0D94436-36CD1C84C9842F1A620FE6476C8DABE3-432B1984C1B1FD74FFD5CEE0CC7B6641, corp_org=F535388F0BB960F95173C365A0D94436, corp_id=36CD1C84C9842F1A620FE6476C8DABE3, corp_seq_id=432B1984C1B1FD74FFD5CEE0CC7B6641, pre_cname=91320509MA1W5HW993, cname=苏州途途汽车销售服务有限公司, admit_main=08, reg_status=在业, reg_code=91320509MA1W5HW993, uni_scid=320584000708184, pname=张继凤, reg_date=2018-03-06, part=0, status=2, version=0, ts=2018-03-12 15:15:04]
